Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4589       2749       0          1180       0.60
structure_refs      2365       205        0          34         0.09
biomes              2365       3284       0          386        1.39
terrain             2365       8477       2          84         3.58
surface             2365       5465       0          3595       2.31
air_carvers         2365       15250      3          180        6.45
fluid_carvers       2365       32         0          0          0.01
decoration          2159       43420      5          180        20.11
mob_spawns          1969       154        0          55         0.08
structure_searches  0          0          0          0          0.00
Sum                                                             34.62
